"filename", "language", "XML", "Groovy", "Batch", "Properties", "Java", "comment", "blank", "total"
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/.idea/compiler.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 6
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/.idea/gradle.xml", "XML", 20, 0, 0, 0, 0, 0, 0, 20
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/.idea/jarRepositories.xml", "XML", 30, 0, 0, 0, 0, 0, 0, 30
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/.idea/misc.xml", "XML", 58, 0, 0, 0, 0, 0, 0, 58
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/.idea/vcs.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 6
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/build.gradle", "Groovy", 0, 49, 0, 0, 0, 2, 8, 59
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/androidTest/java/com/ninjadroid/app/ExampleInstrumentedTest.java", "Java", 0, 0, 0, 0, 15, 6, 5, 26
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/androidTest/java/com/ninjadroid/app/activities/LoginActivityTest.java", "Java", 0, 0, 0, 0, 17, 0, 8, 25
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/AndroidManifest.xml", "XML", 39, 0, 0, 0, 0, 0, 6, 45
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/activities/EditProfileActivity.java", "Java", 0, 0, 0, 0, 120, 7, 26, 153
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/activities/FriendActivity.java", "Java", 0, 0, 0, 0, 165, 6, 35, 206
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/activities/LoginActivity.java", "Java", 0, 0, 0, 0, 174, 10, 34, 218
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/activities/MainActivity.java", "Java", 0, 0, 0, 0, 175, 2, 30, 207
"/Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/activities/RegisterActivity.java", "Java", 0, 0, 0, 0, 130, 5, 26, 161
