Date : 2022-04-30 20:47:46
Directory : /Users/rhodes/Documents/School Stuff/SWE/ninjadroid
Total : 112 files,  6773 codes, 343 comments, 1180 blanks, all 8296 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Java       |         49 |      4,410 |        302 |        916 |      5,628 |
| XML        |         57 |      2,224 |         19 |        228 |      2,471 |
| Groovy     |          3 |         70 |          5 |         11 |         86 |
| Batch      |          1 |         61 |          0 |         24 |         85 |
| Properties |          2 |          8 |         17 |          1 |         26 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                       |        112 |      6,773 |        343 |      1,180 |      8,296 |
| .idea                                                                                                                                                   |          5 |        120 |          0 |          0 |        120 |
| app                                                                                                                                                     |        102 |      6,563 |        323 |      1,152 |      8,038 |
| app/src                                                                                                                                                 |        101 |      6,514 |        321 |      1,144 |      7,979 |
| app/src/androidTest                                                                                                                                     |          2 |         32 |          6 |         13 |         51 |
| app/src/androidTest/java                                                                                                                                |          2 |         32 |          6 |         13 |         51 |
| app/src/androidTest/java/com                                                                                                                            |          2 |         32 |          6 |         13 |         51 |
| app/src/androidTest/java/com/ninjadroid                                                                                                                 |          2 |         32 |          6 |         13 |         51 |
| app/src/androidTest/java/com/ninjadroid/app                                                                                                             |          2 |         32 |          6 |         13 |         51 |
| app/src/androidTest/java/com/ninjadroid/app/activities                                                                                                  |          1 |         17 |          0 |          8 |         25 |
| app/src/main                                                                                                                                            |         98 |      6,445 |        315 |      1,119 |      7,879 |
| app/src/main/java                                                                                                                                       |         46 |      4,341 |        296 |        891 |      5,528 |
| app/src/main/java/com                                                                                                                                   |         46 |      4,341 |        296 |        891 |      5,528 |
| app/src/main/java/com/ninjadroid                                                                                                                        |         46 |      4,341 |        296 |        891 |      5,528 |
| app/src/main/java/com/ninjadroid/app                                                                                                                    |         46 |      4,341 |        296 |        891 |      5,528 |
| app/src/main/java/com/ninjadroid/app/activities                                                                                                         |         14 |      2,406 |        197 |        409 |      3,012 |
| app/src/main/java/com/ninjadroid/app/activities/menuFragments                                                                                           |          8 |      1,590 |        166 |        247 |      2,003 |
| app/src/main/java/com/ninjadroid/app/utils                                                                                                              |         21 |      1,420 |         65 |        357 |      1,842 |
| app/src/main/java/com/ninjadroid/app/utils/adapters                                                                                                     |          6 |        744 |         29 |        142 |        915 |
| app/src/main/java/com/ninjadroid/app/utils/containers                                                                                                   |         13 |        541 |         22 |        156 |        719 |
| app/src/main/java/com/ninjadroid/app/utils/containers/DirectionsContainers                                                                              |          7 |        247 |         18 |         58 |        323 |
| app/src/main/java/com/ninjadroid/app/webServices                                                                                                        |         11 |        515 |         34 |        125 |        674 |
| app/src/main/java/com/ninjadroid/app/webServices/callbacks                                                                                              |          4 |         21 |          0 |         13 |         34 |
| app/src/main/res                                                                                                                                        |         51 |      2,065 |         19 |        222 |      2,306 |
| app/src/main/res/drawable                                                                                                                               |         14 |        291 |          0 |         15 |        306 |
| app/src/main/res/drawable-v24                                                                                                                           |          1 |         30 |          0 |          0 |         30 |
| app/src/main/res/drawable-xhdpi                                                                                                                         |          1 |         11 |          0 |          1 |         12 |
| app/src/main/res/layout                                                                                                                                 |         22 |      1,545 |          0 |        175 |      1,720 |
| app/src/main/res/menu                                                                                                                                   |          3 |         56 |          0 |         14 |         70 |
| app/src/main/res/mipmap-anydpi-v26                                                                                                                      |          2 |         10 |          0 |          0 |         10 |
| app/src/main/res/values                                                                                                                                 |          4 |        102 |         14 |         17 |        133 |
| app/src/main/res/values-land                                                                                                                            |          1 |          3 |          0 |          0 |          3 |
| app/src/main/res/values-night                                                                                                                           |          1 |         11 |          5 |          0 |         16 |
| app/src/main/res/values-w1240dp                                                                                                                         |          1 |          3 |          0 |          0 |          3 |
| app/src/main/res/values-w600dp                                                                                                                          |          1 |          3 |          0 |          0 |          3 |
| app/src/test                                                                                                                                            |          1 |         37 |          0 |         12 |         49 |
| app/src/test/java                                                                                                                                       |          1 |         37 |          0 |         12 |         49 |
| app/src/test/java/com                                                                                                                                   |          1 |         37 |          0 |         12 |         49 |
| app/src/test/java/com/ninjadroid                                                                                                                        |          1 |         37 |          0 |         12 |         49 |
| app/src/test/java/com/ninjadroid/app                                                                                                                    |          1 |         37 |          0 |         12 |         49 |
| app/src/test/java/com/ninjadroid/app/utils                                                                                                              |          1 |         37 |          0 |         12 |         49 |
| gradle                                                                                                                                                  |          1 |          5 |          1 |          1 |          7 |
| gradle/wrapper                                                                                                                                          |          1 |          5 |          1 |          1 |          7 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                                | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/.idea/compiler.xml                                                                                  | XML        |          6 |          0 |          0 |          6 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/.idea/gradle.xml                                                                                    | XML        |         20 |          0 |          0 |         20 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/.idea/jarRepositories.xml                                                                           | XML        |         30 |          0 |          0 |         30 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/.idea/misc.xml                                                                                      | XML        |         58 |          0 |          0 |         58 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/.idea/vcs.xml                                                                                       | XML        |          6 |          0 |          0 |          6 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/build.gradle                                                                                    | Groovy     |         49 |          2 |          8 |         59 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/androidTest/java/com/ninjadroid/app/ExampleInstrumentedTest.java                            | Java       |         15 |          6 |          5 |         26 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/androidTest/java/com/ninjadroid/app/activities/LoginActivityTest.java                       | Java       |         17 |          0 |          8 |         25 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/AndroidManifest.xml                                                                    | XML        |         39 |          0 |          6 |         45 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/activities/EditProfileActivity.java                            | Java       |        120 |          7 |         26 |        153 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/activities/FriendActivity.java                                 | Java       |        165 |          6 |         35 |        206 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/activities/LoginActivity.java                                  | Java       |        174 |         10 |         34 |        218 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/activities/MainActivity.java                                   | Java       |        175 |          2 |         30 |        207 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/activities/RegisterActivity.java                               | Java       |        130 |          5 |         26 |        161 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/activities/RouteActivity.java                                  | Java       |         52 |          1 |         11 |         64 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/activities/menuFragments/FollowersFragment.java                | Java       |        129 |         15 |         20 |        164 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/activities/menuFragments/FollowingFragment.java                | Java       |        215 |         22 |         37 |        274 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/activities/menuFragments/HistoryFragment.java                  | Java       |        102 |         15 |         24 |        141 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/activities/menuFragments/MapFragment.java                      | Java       |        635 |         52 |         78 |        765 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/activities/menuFragments/MyRouteFragment.java                  | Java       |        130 |         13 |         22 |        165 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/activities/menuFragments/ProfileFragment.java                  | Java       |        116 |         21 |         20 |        157 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/activities/menuFragments/SearchFragment.java                   | Java       |        136 |         10 |         22 |        168 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/activities/menuFragments/SharedFragment.java                   | Java       |        127 |         18 |         24 |        169 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/utils/URLBuilder.java                                          | Java       |         36 |          0 |         30 |         66 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/utils/Utils.java                                               | Java       |         99 |         14 |         29 |        142 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/utils/adapters/FRouteAdapter.java                              | Java       |         94 |          0 |         19 |        113 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/utils/adapters/FollowerAdapter.java                            | Java       |        129 |          4 |         28 |        161 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/utils/adapters/HistoryAdapter.java                             | Java       |        110 |          2 |         15 |        127 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/utils/adapters/MyRoutesAdapter.java                            | Java       |        178 |          6 |         31 |        215 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/utils/adapters/SearchedAdapter.java                            | Java       |         72 |          8 |         18 |         98 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/utils/adapters/SharedAdapter.java                              | Java       |        161 |          9 |         31 |        201 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/utils/containers/DirectionsContainers/DirectionsContainer.java | Java       |        165 |         12 |         30 |        207 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/utils/containers/DirectionsContainers/Polyline.java            | Java       |          7 |          1 |          3 |         11 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/utils/containers/DirectionsContainers/Step.java                | Java       |         31 |          1 |          9 |         41 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/utils/containers/DirectionsContainers/StepDistance.java        | Java       |         11 |          1 |          4 |         16 |
| /Users/rhodes/Documents/School Stuff/SWE/ninjadroid/app/src/main/java/com/ninjadroid/app/utils/containers/DirectionsContainers/StepDuration.java        | Java       |         11 |          1 |          4 |         16 |
